timestamp,experiment_id,description,hypothesis,model_type,param_n_estimators,param_class_weight,param_random_state,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,git_hash,param_max_depth,param_learning_rate,param_scale_pos_weight,param_eval_metric,param_verbosity
2026-05-04 19:39:10,exp_001,"Random forest baseline, default hyperparameters",Out-of-the-box RF with class_weight=balanced establishes a tree-based baseline before any tuning,RandomForestClassifier,100,balanced,42,0.8727,0.0175,0.8123,0.0278,0.9394,0.0196,0.8362,0.0372,0.7929,0.0525,4e22b59,,,,,
2026-05-04 19:48:12,exp_002,"XGBoost baseline, default hyperparameters",Default XGBoost with scale_pos_weight for class imbalance; compare against RF baseline,XGBClassifier,100,,42,0.877,0.0366,0.8232,0.0514,0.9502,0.0155,0.8304,0.0665,0.8177,0.0468,a977626,6.0,0.1,1.87,logloss,0.0
2026-05-04 21:06:36,exp_001,"Random forest baseline, default hyperparameters",Out-of-the-box RF with class_weight=balanced establishes a tree-based baseline before any tuning,sklearn.ensemble.RandomForestClassifier,100,balanced,42,0.8727,0.0175,0.8123,0.0278,0.9394,0.0196,0.8362,0.0372,0.7929,0.0525,355b387,,,,,
2026-05-04 21:06:38,exp_002,"XGBoost baseline, default hyperparameters",Default XGBoost with scale_pos_weight for class imbalance; compare against RF baseline,xgboost.XGBClassifier,100,,42,0.877,0.0366,0.8232,0.0514,0.9502,0.0155,0.8304,0.0665,0.8177,0.0468,355b387,6.0,0.1,1.87,logloss,0.0
2026-05-04 22:01:50,exp_003,"XGBoost + pairwise interaction features (Glucose*BMI, Glucose*Age, BMI*Age)",Interactions between the three strongest EDA predictors add signal XGBoost cannot learn from individual features alone,xgboost.XGBClassifier,100,,42,0.8755,0.0277,0.8217,0.0355,0.9451,0.0145,0.828,0.0611,0.8175,0.0235,2d5dc4a,6.0,0.1,1.87,logloss,0.0
2026-05-05 11:25:51,exp_004,XGBoost + SMOTE inside CV folds,SMOTE oversampling inside each CV fold outperforms scale_pos_weight for handling class imbalance,xgboost.XGBClassifier,100,,42,0.8842,0.0238,0.8361,0.0334,0.9458,0.016,0.8279,0.0444,0.8468,0.0453,f6feead,6.0,0.1,,logloss,0.0
